mic;symbol;isin;date;open_value;high_value;low_value;last_value;change_prev_close_percentage;turnover
XZAG;CBX;HRZB00ICBEX6;6.2.2025;3463,34;3466,88;3442,64;3461,51;-0,05;1404751
XZAG;CBX;HRZB00ICBEX6;5.2.2025;3445,88;3464,68;3443,23;3463,34;0,51;842548,19
XZAG;CBX;HRZB00ICBEX6;4.2.2025;3439,84;3449,02;3430,64;3445,69;0,14;1004678,97
XZAG;CBX;HRZB00ICBEX6;3.2.2025;3477,36;3477,36;3435,65;3440,77;-1,17;1743815,98
XZAG;CBX;HRZB00ICBEX6;31.1.2025;3472,09;3483,72;3465,14;3481,33;0,27;775331,66
XZAG;CBX;HRZB00ICBEX6;30.1.2025;3466,6;3472,09;3457,96;3472,09;0,16;973152,32
XZAG;CBX;HRZB00ICBEX6;29.1.2025;3462,47;3471,71;3457,44;3466,6;0,23;1159647,45
XZAG;CBX;HRZB00ICBEX6;28.1.2025;3453,16;3460,64;3446,5;3458,78;0,14;1437631,32
XZAG;CBX;HRZB00ICBEX6;27.1.2025;3462,19;3466,44;3435,75;3454,09;-0,21;1495909,37
XZAG;CBX;HRZB00ICBEX6;24.1.2025;3442,85;3464,84;3441,72;3461,26;0,53;1610144,52
XZAG;CBX;HRZB00ICBEX6;23.1.2025;3414,26;3443,58;3414,26;3442,85;0,84;1774629,48
XZAG;CBX;HRZB00ICBEX6;22.1.2025;3403,45;3419,26;3402,43;3414,26;0,35;2128147,02
XZAG;CBX;HRZB00ICBEX6;21.1.2025;3385,03;3402,94;3381,26;3402,51;0,54;1203951,72
XZAG;CBX;HRZB00ICBEX6;20.1.2025;3367,16;3388,98;3363,31;3384,2;0,51;1747501,42
XZAG;CBX;HRZB00ICBEX6;17.1.2025;3371,21;3381;3362,22;3367,16;-0,18;1268040,31
XZAG;CBX;HRZB00ICBEX6;16.1.2025;3360,04;3374,53;3358,73;3373,08;0,42;1371471,62
XZAG;CBX;HRZB00ICBEX6;15.1.2025;3369,41;3369,7;3348,52;3358,91;-0,19;1494174,12
XZAG;CBX;HRZB00ICBEX6;14.1.2025;3345,81;3365,43;3345,4;3365,43;0,61;3110301,25
XZAG;CBX;HRZB00ICBEX6;13.1.2025;3326,92;3346,32;3318,34;3345,04;0,42;3254547,24
XZAG;CBX;HRZB00ICBEX6;10.1.2025;3299,75;3332,26;3287,71;3330,89;0,94;2318826,17
XZAG;CBX;HRZB00ICBEX6;9.1.2025;3258,42;3299,75;3256,96;3299,75;1,21;2337532,6
XZAG;CBX;HRZB00ICBEX6;8.1.2025;3214,86;3260,29;3208,91;3260,29;1,41;3468472,21
XZAG;CBX;HRZB00ICBEX6;7.1.2025;3193,24;3214,86;3189,83;3214,86;0,74;1224254,16
XZAG;CBX;HRZB00ICBEX6;3.1.2025;3202,05;3204,53;3191,26;3191,37;-0,23;871856,79
XZAG;CBX;HRZB00ICBEX6;2.1.2025;3191,15;3213,97;3183,73;3198,87;0,24;1133551,7
XZAG;CBX;HRZB00ICBEX6;30.12.2024;3200,65;3208,11;3172,02;3191,15;-0,3;2025608,7
XZAG;CBX;HRZB00ICBEX6;27.12.2024;3203,66;3213,74;3197,17;3200,65;-0,09;1507152,79
XZAG;CBX;HRZB00ICBEX6;23.12.2024;3199,25;3203,66;3191,09;3203,66;0,17;1067926,97
XZAG;CBX;HRZB00ICBEX6;20.12.2024;3207,13;3207,47;3187,31;3198,12;-0,28;981510,15
XZAG;CBX;HRZB00ICBEX6;19.12.2024;3222,34;3228,09;3199,07;3207,13;-0,47;1030092,24
XZAG;CBX;HRZB00ICBEX6;18.12.2024;3215,78;3227,41;3208,75;3222,34;0,38;1621018,31
XZAG;CBX;HRZB00ICBEX6;17.12.2024;3194,84;3217,01;3193,71;3210,19;0,48;1314520,65
XZAG;CBX;HRZB00ICBEX6;16.12.2024;3193,65;3197,71;3187,31;3194,84;0,03;839277,12
XZAG;CBX;HRZB00ICBEX6;13.12.2024;3189,81;3196,12;3185,52;3193,77;0,13;999956,81
XZAG;CBX;HRZB00ICBEX6;12.12.2024;3172,74;3194,08;3166,11;3189,65;0,53;1383989,7
XZAG;CBX;HRZB00ICBEX6;11.12.2024;3158,06;3173,44;3157,5;3172,74;0,52;892870,12
XZAG;CBX;HRZB00ICBEX6;10.12.2024;3147,24;3165,48;3147,24;3156,22;0,29;1024712,2
XZAG;CBX;HRZB00ICBEX6;9.12.2024;3143,73;3150,94;3132,36;3147,24;0,11;711234,17
XZAG;CBX;HRZB00ICBEX6;6.12.2024;3153,51;3154,32;3136,05;3143,73;-0,31;960724,72
XZAG;CBX;HRZB00ICBEX6;5.12.2024;3134,33;3153,51;3134,33;3153,51;0,55;712173,27
XZAG;CBX;HRZB00ICBEX6;4.12.2024;3163,37;3167,52;3133,66;3136,17;-0,84;1240675,52
XZAG;CBX;HRZB00ICBEX6;3.12.2024;3158,14;3174,14;3158,14;3162,72;0,15;1259072,9
XZAG;CBX;HRZB00ICBEX6;2.12.2024;3160,11;3174,88;3153,04;3158,14;-0,11;995501,6
XZAG;CBX;HRZB00ICBEX6;29.11.2024;3158,67;3167,69;3130,68;3161,64;0,09;837247,24
XZAG;CBX;HRZB00ICBEX6;28.11.2024;3166,88;3169,31;3134,95;3158,67;-0,26;1648584,52
XZAG;CBX;HRZB00ICBEX6;27.11.2024;3145,76;3176,89;3145,76;3166,88;0,79;1271049,43
XZAG;CBX;HRZB00ICBEX6;26.11.2024;3124,46;3142,08;3119,21;3142,08;0,56;977416,09
XZAG;CBX;HRZB00ICBEX6;25.11.2024;3116,61;3126,67;3110,46;3124,46;0,19;898594,7
XZAG;CBX;HRZB00ICBEX6;22.11.2024;3125,03;3125,03;3114,7;3118,45;-0,21;838772,58
XZAG;CBX;HRZB00ICBEX6;21.11.2024;3128,33;3133,53;3113,25;3125,03;-0,11;1161159,38
XZAG;CBX;HRZB00ICBEX6;20.11.2024;3126,55;3131,16;3114,06;3128,33;0,06;712223,05
